"product_name","list_price","total_orders"
Trek Slash 8 27.5 - 2016,3999.99,101
Trek Conduit+ - 2016,2999.99,101
Surly Straggler 650b - 2016,1680.99,97
Surly Straggler - 2016,1549.0,97
Trek Fuel EX 8 29 - 2016,2899.99,97
Heller Shagamaw Frame - 2016,1320.99,91
Trek Remedy 29 Carbon Frameset - 2016,1799.99,85
Trek Domane SLR 6 Disc - 2017,5499.99,28
Trek Emonda S 4 - 2017,1499.99,28
Trek Domane S 6 - 2017,2699.99,26
Trek Madone 9.2 - 2017,4999.99,26
Surly Karate Monkey 27.5+ Frameset - 2017,2499.99,26
Trek Boone 7 - 2017,3499.99,25
Trek Powerfly 8 FS Plus - 2017,4999.99,25
Trek Fuel EX 9.8 27.5 Plus - 2017,5299.99,25
Electra Amsterdam Fashion 7i Ladies' - 2017,1099.99,24
Sun Bicycles ElectroLite - 2017,1559.99,24
Haro Shift R3 - 2017,1469.99,24
Trek Fuel EX 5 27.5 Plus - 2017,2299.99,24
Trek Domane SL 6 - 2017,3499.99,22
Trek Boone Race Shop Limited - 2017,3499.99,21
Trek Fuel EX 9.8 29 - 2017,4999.99,21
Trek Silque SLR 7 Women's - 2017,5999.99,20
Trek Silque SLR 8 Women's - 2017,6499.99,19
Haro SR 1.3 - 2017,1409.99,19
Trek Domane S 5 Disc - 2017,2599.99,18
Trek Domane SL Disc Frameset - 2017,3199.99,17
Trek Stache 5 - 2017,1499.99,16
Trek Emonda S 5 - 2017,1999.99,15
Trek Remedy 9.8 - 2017,5299.99,14
Surly Wednesday - 2017,1632.99,13
Electra Townie Commute Go! - 2018,2999.99,10
Electra Townie Commute Go! Ladies' - 2018,2999.99,8
Surly Krampus - 2018,1499.0,7
Surly Straggler - 2018,1549.0,6
Electra Townie Go! 8i Ladies' - 2018,2599.99,6
Trek Boone 7 Disc - 2018,3999.99,5
Trek XM700+ - 2018,3499.99,5
Trek Fuel EX 8 29 XT - 2018,3199.99,5
Trek Emonda ALR 6 - 2018,2299.99,5
Trek Domane SL 7 Women's - 2018,4999.99,5
Trek Powerfly 7 FS - 2018,4999.99,5
Surly ECR 27.5 - 2018,1899.0,5
Trek Super Commuter+ 7 - 2018,3599.99,5
Heller Shagamaw GX1 - 2018,2599.0,4
Trek Domane ALR 5 Disc - 2018,1799.99,4
Trek Domane SL 5 Disc - 2018,2499.99,4
Trek Domane ALR Disc Frameset - 2018,3199.99,4
Trek Stache 5 - 2018,1599.99,4
Trek Fuel EX 8 29 - 2018,3199.99,4
Surly Pack Rat - 2018,1349.0,4
Trek Verve+ Lowstep - 2018,2299.99,4
Trek Emonda SLR 6 - 2018,4499.99,4
Trek Super Commuter+ 8S - 2018,4999.99,4
Trek Domane SL 6 - 2018,3199.99,4
Trek Remedy 7 27.5 - 2018,2999.99,4
Trek XM700+ Lowstep - 2018,3499.99,4
Trek Domane ALR 5 Gravel - 2018,1799.99,4
Trek Ticket S Frame - 2018,1469.99,4
Trek CrossRip+ - 2018,4499.99,4
Trek Domane SL 6 Disc - 2018,3499.99,4
Trek Domane ALR 4 Disc Women's - 2018,1549.99,4
Trek Conduit+ - 2018,2799.99,4
Trek Domane SL 8 Disc - 2018,5499.99,3
Trek Emonda SL 7 - 2018,4499.99,3
Trek Domane SL Frameset - 2018,6499.99,3
Surly Troll Frameset - 2018,2499.99,3
Trek Domane SLR 8 Disc - 2018,7499.99,3
Electra Loft Go! 8i - 2018,2799.99,3
Trek Procaliber 6 - 2018,1799.99,3
Trek Domane SL 5 - 2018,2199.99,3
Trek Lift+ - 2018,2799.99,3
Trek Domane ALR Frameset - 2018,3199.99,3
Trek Dual Sport+ - 2018,2799.99,3
Trek Domane SLR 9 Disc - 2018,12000.0,3
Electra Townie Go! 8i - 2017/2018,2599.99,3
Surly Straggler 650b - 2018,1549.0,3
Trek Crockett 7 Disc - 2018,2999.99,3
Trek Powerfly 5 Women's - 2018,3499.99,3
Trek X-Caliber Frameset - 2018,1499.99,3
Trek Verve+ - 2018,2299.99,3
Trek Fuel EX 5 Plus - 2018,2249.99,3
Trek Emonda SL 6 Disc - 2018,2999.99,2
Trek Crockett 5 Disc - 2018,1799.99,2
Trek Procal AL Frameset - 2018,1499.99,2
Trek Domane SL 5 Disc Women's - 2018,2499.99,2
Trek Emonda SLR 8 - 2018,6499.99,2
Trek Fuel EX 7 29 - 2018,2499.99,2
Trek Remedy 27.5 C Frameset - 2018,1499.99,2
Trek Boone 5 Disc - 2018,3299.99,2
Trek 1120 - 2018,2499.99,2
Trek Neko+ - 2018,2799.99,2
Trek Remedy 9.8 27.5 - 2018,4999.99,2
Electra Amsterdam Royal 8i Ladies - 2018,1199.99,2
Trek Procaliber Frameset - 2018,1499.99,2
Trek Domane SLR 6 - 2018,4999.99,2
Heller Bloodhound Trail - 2018,2599.0,2
Surly ECR - 2018,1899.0,2
Trek Domane ALR 4 Disc - 2018,1549.99,2
Trek Domane SLR Frameset - 2018,3199.99,2
Trek CrossRip 2 - 2018,1299.99,1
Trek Powerfly 5 FS - 2018,4499.99,1
Trek Lift+ Lowstep - 2018,2799.99,1
Trek Madone 9 Frameset - 2018,3199.99,1
Trek Domane SLR Disc Frameset - 2018,3199.99,1
Trek Powerfly 5 - 2018,3499.99,1
Trek Domane SLR 6 Disc - 2018,5499.99,1
Trek Domane SL Frameset Women's - 2018,6499.99,1
Electra Amsterdam Royal 8i - 2017/2018,1259.9,1
Trek Domane ALR 3 - 2018,1099.99,1
Trek Domane SL 5 Women's - 2018,2199.99,1
